Ref_Date,GEO,EST,Vector,Coordinate,Value
1998,Canada,Beekeepers,v47849,1.1,10500
1999,Canada,Beekeepers,v47849,1.1,9961
2000,Canada,Beekeepers,v47849,1.1,9253
2001,Canada,Beekeepers,v47849,1.1,9102
2002,Canada,Beekeepers,v47849,1.1,8958
2003,Canada,Beekeepers,v47849,1.1,8310
2004,Canada,Beekeepers,v47849,1.1,7925
2005,Canada,Beekeepers,v47849,1.1,7971
2006,Canada,Beekeepers,v47849,1.1,7695
2007,Canada,Beekeepers,v47849,1.1,7313
2008,Canada,Beekeepers,v47849,1.1,6931
2009,Canada,Beekeepers,v47849,1.1,7028
2010,Canada,Beekeepers,v47849,1.1,7403
2011,Canada,Beekeepers,v47849,1.1,7713
2012,Canada,Beekeepers,v47849,1.1,8312
2013,Canada,Beekeepers,v47849,1.1,8489
2014,Canada,Beekeepers,v47849,1.1,8898
2015,Canada,Beekeepers,v47849,1.1,8533
1924,Canada,Colonies,v47859,1.2,280010
1925,Canada,Colonies,v47859,1.2,309400
1926,Canada,Colonies,v47859,1.2,307490
1927,Canada,Colonies,v47859,1.2,323750
1928,Canada,Colonies,v47859,1.2,335670
1929,Canada,Colonies,v47859,1.2,345880
1930,Canada,Colonies,v47859,1.2,362140
1931,Canada,Colonies,v47859,1.2,350500
1932,Canada,Colonies,v47859,1.2,349290
1933,Canada,Colonies,v47859,1.2,328210
1934,Canada,Colonies,v47859,1.2,328370
1935,Canada,Colonies,v47859,1.2,356958
1936,Canada,Colonies,v47859,1.2,370790
1937,Canada,Colonies,v47859,1.2,386360
1938,Canada,Colonies,v47859,1.2,394030
1939,Canada,Colonies,v47859,1.2,405960
1940,Canada,Colonies,v47859,1.2,398540
1941,Canada,Colonies,v47859,1.2,409740
1942,Canada,Colonies,v47859,1.2,427050
1943,Canada,Colonies,v47859,1.2,449650
1944,Canada,Colonies,v47859,1.2,508470
1945,Canada,Colonies,v47859,1.2,522530
1946,Canada,Colonies,v47859,1.2,541760
1947,Canada,Colonies,v47859,1.2,588700
1948,Canada,Colonies,v47859,1.2,569800
1949,Canada,Colonies,v47859,1.2,473450
1950,Canada,Colonies,v47859,1.2,430040
1951,Canada,Colonies,v47859,1.2,406340
1952,Canada,Colonies,v47859,1.2,385550
1953,Canada,Colonies,v47859,1.2,341300
1954,Canada,Colonies,v47859,1.2,339400
1955,Canada,Colonies,v47859,1.2,323600
1956,Canada,Colonies,v47859,1.2,330000
1957,Canada,Colonies,v47859,1.2,325700
1958,Canada,Colonies,v47859,1.2,332700
1959,Canada,Colonies,v47859,1.2,330700
1960,Canada,Colonies,v47859,1.2,327340
1961,Canada,Colonies,v47859,1.2,336910
1962,Canada,Colonies,v47859,1.2,340470
1963,Canada,Colonies,v47859,1.2,360060
1964,Canada,Colonies,v47859,1.2,382240
1965,Canada,Colonies,v47859,1.2,413030
1966,Canada,Colonies,v47859,1.2,429860
1967,Canada,Colonies,v47859,1.2,445070
1968,Canada,Colonies,v47859,1.2,414060
1969,Canada,Colonies,v47859,1.2,419060
1970,Canada,Colonies,v47859,1.2,407560
1971,Canada,Colonies,v47859,1.2,401420
1972,Canada,Colonies,v47859,1.2,417300
1973,Canada,Colonies,v47859,1.2,437910
1974,Canada,Colonies,v47859,1.2,473570
1975,Canada,Colonies,v47859,1.2,508450
1976,Canada,Colonies,v47859,1.2,530930
1977,Canada,Colonies,v47859,1.2,546490
1978,Canada,Colonies,v47859,1.2,566900
1979,Canada,Colonies,v47859,1.2,577200
1980,Canada,Colonies,v47859,1.2,607800
1981,Canada,Colonies,v47859,1.2,633500
1982,Canada,Colonies,v47859,1.2,663450
1983,Canada,Colonies,v47859,1.2,684850
1984,Canada,Colonies,v47859,1.2,704650
1985,Canada,Colonies,v47859,1.2,693600
1986,Canada,Colonies,v47859,1.2,707375
1987,Canada,Colonies,v47859,1.2,698780
1988,Canada,Colonies,v47859,1.2,608420
1989,Canada,Colonies,v47859,1.2,544290
1990,Canada,Colonies,v47859,1.2,531955
1991,Canada,Colonies,v47859,1.2,498780
1992,Canada,Colonies,v47859,1.2,501259
1993,Canada,Colonies,v47859,1.2,502656
1994,Canada,Colonies,v47859,1.2,501256
1995,Canada,Colonies,v47859,1.2,520982
1996,Canada,Colonies,v47859,1.2,509648
1997,Canada,Colonies,v47859,1.2,519988
1998,Canada,Colonies,v47859,1.2,563614
1999,Canada,Colonies,v47859,1.2,588824
2000,Canada,Colonies,v47859,1.2,599863
2001,Canada,Colonies,v47859,1.2,602328
2002,Canada,Colonies,v47859,1.2,588485
2003,Canada,Colonies,v47859,1.2,563330
2004,Canada,Colonies,v47859,1.2,597890
2005,Canada,Colonies,v47859,1.2,615541
2006,Canada,Colonies,v47859,1.2,628401
2007,Canada,Colonies,v47859,1.2,589254
2008,Canada,Colonies,v47859,1.2,570070
2009,Canada,Colonies,v47859,1.2,592120
2010,Canada,Colonies,v47859,1.2,620291
2011,Canada,Colonies,v47859,1.2,637920
2012,Canada,Colonies,v47859,1.2,690037
2013,Canada,Colonies,v47859,1.2,667397
2014,Canada,Colonies,v47859,1.2,696252
2015,Canada,Colonies,v47859,1.2,721106
1924,Canada,Average yield per colony (pounds),v47869,1.3,60
1925,Canada,Average yield per colony (pounds),v47869,1.3,65
1926,Canada,Average yield per colony (pounds),v47869,1.3,64
1927,Canada,Average yield per colony (pounds),v47869,1.3,72
1928,Canada,Average yield per colony (pounds),v47869,1.3,66
1929,Canada,Average yield per colony (pounds),v47869,1.3,67
1930,Canada,Average yield per colony (pounds),v47869,1.3,84
1931,Canada,Average yield per colony (pounds),v47869,1.3,89
1932,Canada,Average yield per colony (pounds),v47869,1.3,75
1933,Canada,Average yield per colony (pounds),v47869,1.3,98
1934,Canada,Average yield per colony (pounds),v47869,1.3,104
1935,Canada,Average yield per colony (pounds),v47869,1.3,94
1936,Canada,Average yield per colony (pounds),v47869,1.3,102
1937,Canada,Average yield per colony (pounds),v47869,1.3,70
1938,Canada,Average yield per colony (pounds),v47869,1.3,116
1939,Canada,Average yield per colony (pounds),v47869,1.3,85
1940,Canada,Average yield per colony (pounds),v47869,1.3,71
1941,Canada,Average yield per colony (pounds),v47869,1.3,81
1942,Canada,Average yield per colony (pounds),v47869,1.3,66
1943,Canada,Average yield per colony (pounds),v47869,1.3,88
1944,Canada,Average yield per colony (pounds),v47869,1.3,71
1945,Canada,Average yield per colony (pounds),v47869,1.3,63
1946,Canada,Average yield per colony (pounds),v47869,1.3,43
1947,Canada,Average yield per colony (pounds),v47869,1.3,63
1948,Canada,Average yield per colony (pounds),v47869,1.3,79
1949,Canada,Average yield per colony (pounds),v47869,1.3,66
1950,Canada,Average yield per colony (pounds),v47869,1.3,66
1951,Canada,Average yield per colony (pounds),v47869,1.3,101
1952,Canada,Average yield per colony (pounds),v47869,1.3,81
1953,Canada,Average yield per colony (pounds),v47869,1.3,77
1954,Canada,Average yield per colony (pounds),v47869,1.3,58
1955,Canada,Average yield per colony (pounds),v47869,1.3,77
1956,Canada,Average yield per colony (pounds),v47869,1.3,74
1957,Canada,Average yield per colony (pounds),v47869,1.3,98
1958,Canada,Average yield per colony (pounds),v47869,1.3,83
1959,Canada,Average yield per colony (pounds),v47869,1.3,95
1960,Canada,Average yield per colony (pounds),v47869,1.3,98
1961,Canada,Average yield per colony (pounds),v47869,1.3,104
1962,Canada,Average yield per colony (pounds),v47869,1.3,90
1963,Canada,Average yield per colony (pounds),v47869,1.3,117
1964,Canada,Average yield per colony (pounds),v47869,1.3,96
1965,Canada,Average yield per colony (pounds),v47869,1.3,119
1966,Canada,Average yield per colony (pounds),v47869,1.3,104
1967,Canada,Average yield per colony (pounds),v47869,1.3,103
1968,Canada,Average yield per colony (pounds),v47869,1.3,81
1969,Canada,Average yield per colony (pounds),v47869,1.3,127
1970,Canada,Average yield per colony (pounds),v47869,1.3,125
1971,Canada,Average yield per colony (pounds),v47869,1.3,130
1972,Canada,Average yield per colony (pounds),v47869,1.3,121
1973,Canada,Average yield per colony (pounds),v47869,1.3,125
1974,Canada,Average yield per colony (pounds),v47869,1.3,97
1975,Canada,Average yield per colony (pounds),v47869,1.3,91
1976,Canada,Average yield per colony (pounds),v47869,1.3,106
1977,Canada,Average yield per colony (pounds),v47869,1.3,113
1978,Canada,Average yield per colony (pounds),v47869,1.3,119
1979,Canada,Average yield per colony (pounds),v47869,1.3,126
1980,Canada,Average yield per colony (pounds),v47869,1.3,106
1981,Canada,Average yield per colony (pounds),v47869,1.3,121
1982,Canada,Average yield per colony (pounds),v47869,1.3,101
1983,Canada,Average yield per colony (pounds),v47869,1.3,125
1984,Canada,Average yield per colony (pounds),v47869,1.3,135
1985,Canada,Average yield per colony (pounds),v47869,1.3,115
1986,Canada,Average yield per colony (pounds),v47869,1.3,106
1987,Canada,Average yield per colony (pounds),v47869,1.3,124
1988,Canada,Average yield per colony (pounds),v47869,1.3,134
1989,Canada,Average yield per colony (pounds),v47869,1.3,112
1990,Canada,Average yield per colony (pounds),v47869,1.3,133
1991,Canada,Average yield per colony (pounds),v47869,1.3,140
1992,Canada,Average yield per colony (pounds),v47869,1.3,133
1993,Canada,Average yield per colony (pounds),v47869,1.3,134
1994,Canada,Average yield per colony (pounds),v47869,1.3,151
1995,Canada,Average yield per colony (pounds),v47869,1.3,128
1996,Canada,Average yield per colony (pounds),v47869,1.3,117
1997,Canada,Average yield per colony (pounds),v47869,1.3,131
1998,Canada,Average yield per colony (pounds),v47869,1.3,180
1999,Canada,Average yield per colony (pounds),v47869,1.3,139
2000,Canada,Average yield per colony (pounds),v47869,1.3,117
2001,Canada,Average yield per colony (pounds),v47869,1.3,130
2002,Canada,Average yield per colony (pounds),v47869,1.3,139
2003,Canada,Average yield per colony (pounds),v47869,1.3,135
2004,Canada,Average yield per colony (pounds),v47869,1.3,126
2005,Canada,Average yield per colony (pounds),v47869,1.3,129
1924,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,16840
1925,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,19977
1926,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,19526
1927,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,23231
1928,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,22225
1929,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,23164
1930,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,30260
1931,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,31324
1932,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,26213
1933,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,32094
1934,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,34216
1935,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,33646
1936,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,37995
1937,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,27012
1938,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,45702
1939,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,34376
1940,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,28215
1941,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,33221
1942,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,28049
1943,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,39492
1944,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,36264
1945,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,33020
1946,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,23185
1947,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,37078
1948,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,45145
1949,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,31481
1950,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,28351
1951,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,40909
1952,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,31230
1953,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,26384
1954,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,19850
1955,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,25031
1956,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,24272
1957,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,32051
1958,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,27509
1959,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,31527
1960,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,32224
1961,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,35058
1962,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,30713
1963,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,42142
1964,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,36662
1965,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,49157
1966,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,44502
1967,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,45682
1968,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,33372
1969,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,53312
1970,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,51041
1971,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,52016
1972,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,50599
1973,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,54629
1974,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,45786
1975,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,46419
1976,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,56095
1977,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,61844
1978,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,67426
1979,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,72545
1980,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,64450
1981,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,76655
1982,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,67302
1983,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,85461
1984,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,95454
1985,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,79630
1986,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,75044
1987,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,86799
1988,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,81798
1989,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,60950
1990,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,70764
1991,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,69680
1992,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,66867
1993,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,67588
1994,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,75498
1995,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,66916
1996,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,59475
1997,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,68366
1998,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,101595
1999,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,81789
2000,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,70232
2001,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,78016
2002,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,81730
2003,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,76285
2004,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,75490
2005,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,79607
2006,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,106599
2007,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,69402
2008,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,64895
2009,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,70362
2010,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,81672
2011,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,79824
2012,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,90759
2013,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,76468
2014,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,85551
2015,Canada,"Production of honey, total (pounds x 1,000)",v47879,1.4,95296
1924,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2085
1925,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2414
1926,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2407
1927,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2753
1928,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2441
1929,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2128
1930,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2413
1931,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2405
1932,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,1942
1933,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2669
1934,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,3081
1935,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2734
1936,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,3186
1937,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2411
1938,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,3488
1939,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2958
1940,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,2914
1941,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,3756
1942,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,3843
1943,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,6095
1944,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5534
1945,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5439
1946,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4149
1947,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,9160
1948,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,9336
1949,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4200
1950,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4281
1951,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,6445
1952,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4680
1953,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4099
1954,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,3418
1955,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4399
1956,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4419
1957,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5906
1958,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,4632
1959,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5443
1960,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5423
1961,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5597
1962,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,5128
1963,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,7538
1964,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,6655
1965,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,8767
1966,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,8119
1967,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,7739
1968,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,6057
1969,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,8817
1970,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,8269
1971,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,10821
1972,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,15623
1973,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,25185
1974,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,21135
1975,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,22965
1976,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,25085
1977,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,30943
1978,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,38065
1979,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,45682
1980,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,42465
1981,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,58505
1982,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,50640
1983,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,61294
1984,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,63212
1985,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,55192
1986,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,49628
1987,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,50733
1988,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,45265
1989,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,38265
1990,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,48544
1991,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,49338
1992,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,48372
1993,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,52121
1994,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,58684
1995,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,64841
1996,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,75271
1997,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,81810
1998,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,93484
1999,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,70362
2000,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,69284
2001,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,92918
2002,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,160805
2003,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,155805
2004,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,121105
2005,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,63338
2006,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,111255
2007,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,84916
2008,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,105184
2009,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,126253
2010,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,144197
2011,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,150691
2012,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,176206
2013,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,181283
2014,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,209241
2015,Canada,"Value of honey, total (dollars x 1,000)",v47889,1.5,231953
1924,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2183
1925,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2527
1926,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2520
1927,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2882
1928,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2556
1929,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2228
1930,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2526
1931,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2518
1932,Canada,"Value of honey and wax (dollars x 1,000)",v47899,1.6,2033
